absolute_humidity_2m:gm3,clear_sky_rad:W,dew_point_2m:C,diffuse_rad:W,diffuse_rad_1h:Ws,direct_rad:W,direct_rad_1h:Ws,dust_0p03um_0p55um:ugm3,dust_0p55um_0p9um:ugm3,dust_0p9um_20um:ugm3,effective_cloud_cover:p,fresh_snow_1h:cm,frost_depth:cm,global_rad:W,global_rad_1h:Ws,high_cloud_cover:p,is_fog_1h:idx,is_rain_1h:idx,is_sleet_1h:idx,is_snow_1h:idx,low_cloud_cover:p,medium_cloud_cover:p,neff:p,pm1:ugm3,pm10:ugm3,pm2p5:ugm3,precip_1h:mm,prob_precip_1h:p,relative_humidity_2m:p,sfc_pressure_mean_1h:hPa,snowdepth:cm,snow_melt_1h:mm,sunrise:sql,sunset:sql,sunshine_duration_1h:min,t_0m:C,t_2m:C,t_max_0m_1h:C,t_mean_0m_1h:C,t_min_0m_1h:C,total_cloud_cover:p,wet_bulb_t_2m:C,wind_dir_10m:d,wind_dir_mean_10m_1h:d,wind_gusts_10m:ms,wind_speed_10m:ms,wind_speed_mean_10m_1h:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
6.9,138.1,5.7,61.0,364374.1,26.3,156647.7,0.037,0.311,4.098,75.0,0.0,0.0,87.3,521021.8,88.6,0.0,0.0,0.0,0.0,0.1,55.0,75.0,10.961,20.695,13.255,0.0,1.0,60.1,973.4,0.0,0.0,2020-04-24 11:11:00,2020-04-25 01:09:00,27.0,12.8,13.3,15.1,13.8,12.6,94.1,9.3,119.1,117.6,5.0,2.5,2.7,-2.2,1.2
2.1,0.0,-10.6,0.0,42492.0,0.0,49908.6,0.002,0.013,0.074,2.3,0.0,0.0,0.0,92400.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,1.623,2.769,1.916,0.0,1.0,33.3,1008.4,0.0,0.0,2020-04-23 09:51:00,2020-04-23 23:34:00,31.3,4.0,4.2,5.4,4.6,3.8,2.3,-0.5,289.1,285.4,13.3,5.3,5.7,5.0,-1.7
4.8,0.0,0.3,0.0,29875.3,0.0,279.5,0.011,0.082,0.998,97.4,0.0,0.0,0.0,30154.8,100.0,0.0,0.0,0.0,0.0,0.0,94.8,97.4,5.656,10.028,6.725,0.0,1.0,65.6,1014.6,0.0,0.0,2020-04-24 09:50:00,2020-04-24 23:35:00,1.8,6.0,6.2,6.8,6.4,5.9,100.0,3.7,235.0,236.2,6.9,2.3,2.6,1.9,1.3
19.6,165.6,22.4,59.5,385774.0,14.0,102626.4,0.017,0.155,1.798,49.0,0.0,0.0,73.4,488400.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.955,10.852,7.121,0.0,1.0,79.5,982.5,0.0,0.0,2020-04-23 11:54:00,2020-04-24 01:02:00,60.0,25.6,26.2,27.2,26.3,25.5,98.0,23.4,186.5,187.0,6.7,3.5,4.0,0.4,3.5
12.2,167.8,14.8,53.5,247315.9,105.3,714631.7,0.055,0.492,5.15,0.0,0.0,0.0,158.7,961947.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549,11.857,6.991,0.0,1.0,50.3,986.8,0.0,0.0,2020-04-24 11:53:00,2020-04-25 01:03:00,60.0,24.1,25.9,27.3,25.6,23.8,0.0,18.7,76.1,58.1,4.7,2.0,2.6,-2.0,-0.5
19.6,165.6,22.4,59.5,385774.0,14.0,102626.4,0.017,0.155,1.798,49.0,0.0,0.0,73.4,488400.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.955,10.852,7.121,0.0,1.0,79.5,982.5,0.0,0.0,2020-04-23 11:54:00,2020-04-24 01:02:00,60.0,25.6,26.2,27.2,26.3,25.5,98.0,23.4,186.5,187.0,6.7,3.5,4.0,0.4,3.5
12.2,167.8,14.8,53.5,247315.9,105.3,714631.7,0.055,0.492,5.15,0.0,0.0,0.0,158.7,961947.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549,11.857,6.991,0.0,1.0,50.3,986.8,0.0,0.0,2020-04-24 11:53:00,2020-04-25 01:03:00,60.0,24.1,25.9,27.3,25.6,23.8,0.0,18.7,76.1,58.1,4.7,2.0,2.6,-2.0,-0.5
9.9,489.9,11.5,82.8,316163.8,372.4,1675884.2,0.226,2.273,19.352,0.0,0.0,0.0,455.2,1992048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,26.29,13.573,0.0,1.0,46.4,928.2,0.0,0.0,2020-04-23 13:06:00,2020-04-24 02:24:00,60.0,24.0,23.6,26.3,25.1,23.8,0.0,16.0,302.6,294.2,6.1,4.0,4.1,3.4,-2.2
10.0,492.4,11.8,82.3,313437.6,377.7,1698074.8,0.248,2.497,21.304,0.0,0.0,0.0,459.9,2011512.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616,23.864,11.431,0.0,1.0,41.1,923.5,0.0,0.0,2020-04-24 13:05:00,2020-04-25 02:25:00,60.0,26.5,26.1,29.1,27.7,26.2,0.0,17.1,275.5,268.1,2.9,2.1,1.9,2.1,-0.2
7.1,25.0,6.1,15.8,166912.6,5.5,181597.5,0.018,0.162,2.584,68.0,0.0,0.0,21.3,348510.0,100.0,0.0,0.0,0.0,0.0,0.0,36.0,68.0,7.799,14.31,9.305,0.0,1.0,58.3,981.4,0.0,0.0,2020-04-23 10:46:00,2020-04-24 00:21:00,38.4,11.8,14.2,16.6,13.9,11.2,100.0,9.9,169.2,181.1,7.5,2.7,2.5,-0.5,2.7
