lat,lon
33.4152,-111.8315
34.1954,-79.7626
36.1699,-115.1398
32.8384,-116.9739
40.8201,-74.3647
35.9799,-78.5097
32.8092,-97.2317
36.1699,-115.1398
34.2856,-118.8820
33.1507,-96.8236
33.0198,-96.6989
32.8235,-97.1706
32.7555,-97.3308
39.6133,-105.0166
32.7767,-96.7970
35.2271,-80.8431
42.1700,-88.2900
36.3302,-119.2921
30.3061,-97.9524
32.6401,-117.0842
33.6634,-116.3100
34.7371,-82.2543
41.5200,-88.2017
41.7698,-87.9359
35.7327,-78.8503
41.2043,-73.7271
33.4152,-111.8315
33.3528,-111.7890
39.3343,-76.4394
35.4662,-82.5167
41.5100,-87.9700
38.5293,-76.9753
32.2226,-110.9747
33.2148,-97.1331
36.1699,-115.1398
33.2000,-117.2425
44.9537,-93.0900
32.9029,-96.5639
38.9784,-76.4922
30.2672,-97.7431
33.9425,-117.2297
38.7743,-76.0763
33.5387,-112.1860
33.4484,-112.0740
39.6954,-74.2588
35.0071,-80.6745
36.0395,-114.9817
30.2672,-97.7431
33.8366,-117.9143
36.3302,-119.2921
33.6971,-117.1853
30.4548,-97.6223
33.1032,-96.6706
35.2621,-81.1873
36.0395,-114.9817
36.1699,-115.1398
32.7668,-96.5992
39.0670,-76.6655
33.4274,-117.6126
33.3062,-111.8413
34.2000,-119.1800
37.9735,-122.5311
35.7915,-78.7811
40.8534,-73.4115
45.4000,-92.6500
45.4000,-92.6500
45.4000,-92.6500
45.4000,-92.6500
45.4000,-92.6500
35.1322,-118.4490
31.0982,-97.3428
31.0982,-97.3428
40.3043,-74.1004
41.6528,-83.5379
41.6528,-83.5379
41.6528,-83.5379
33.8358,-118.3406
33.8358,-118.3706
37.7397,-121.4252
39.4809,-84.4577
40.0395,-84.2033
32.2226,-110.9747
34.4562,-118.5714
34.5362,-117.2928
43.1300,-90.5000
43.1300,-90.5000
39.5374,-83.4376
41.5582,-73.0515
32.3865,-96.8483
40.8896,-74.2598
39.3321,-84.4173
34.0686,-117.9390
41.2705,-72.9470
34.1061,-117.3720
34.1061,-117.3720
42.2181,-70.9410
42.2181,-70.9410
43.5100,-87.4500
43.5100,-87.4500
39.9667,-82.8855
42.0807,-70.9356
33.9792,-118.0328
41.7107,-72.2081
41.8526,-72.6437
36.0999,-80.2442
42.2626,-71.8023
42.2571,-71.8571
33.0151,-96.5389
39.6848,-83.9297
39.1700,-87.6400
