lat,lon
41.9584,-70.6673
32.7000,-117.2467
33.7701,-118.1937
33.7701,-118.1937
40.3573,-74.6672
34.1064,-117.5931
34.0556,-117.1825
36.0525,-82.1948
41.4773,-71.6059
41.5570,-71.5187
41.4751,-71.6139
41.4818,-71.7448
41.4541,-71.7721
41.5076,-71.7162
41.4702,-71.6174
41.4645,-71.6996
34.1064,-117.3703
45.4500,-94.5200
45.4500,-94.5200
45.4500,-94.5200
45.4500,-94.5200
45.4500,-94.5200
35.6225,-117.6709
33.9806,-117.3755
43.1566,-77.6088
34.1083,-117.2898
34.1083,-117.2898
37.7700,-122.4200
37.3382,-121.8863
37.9621,-122.3455
45.8400,-91.4700
45.8400,-91.4700
34.3500,-119.0600
32.8384,-116.9739
42.4651,-71.0110
42.4651,-77.0110
43.2700,-89.7200
42.0334,-88.0800
42.0300,-88.0800
38.6412,-75.6110
40.7985,-74.0565
39.7662,-75.1442
41.3971,-73.0748
40.2842,-84.1555
42.3057,-71.5245
34.9496,-81.9320
39.9242,-83.8088
42.0807,-70.9356
36.1200,-97.0600
37.9577,-121.2908
